code,reason
PX630101,No items (Trauma and Adversity Exposure - General)
PX630102,No items (Trauma and Adversity Exposure - Military)
PX630202,No items (PTSD Screener - DSM 5)
PX011701,Requires images/visual aids (Sexual Orientation)
PX020401,Requires images/visual aids (Body Image)
PX020602,Requires images/visual aids (Hand Dominance - 12 Years and Older)
PX030301,Requires images/visual aids (Alcohol - 30-Day Quantity and Frequency)
PX050201,Requires images/visual aids (Calcium Intake - Children)
PX061201,Requires images/visual aids (Dust Collection - Vacuum Bag)
PX100101,Requires images/visual aids (Assessment of Pubertal Development - Teenage Female)
PX100102,Requires images/visual aids (Assessment of Pubertal Development - Teenage Male)
PX100103,Requires images/visual aids (Assessment of Pubertal Development - Child and Adolescent Female)
PX100104,Requires images/visual aids (Assessment of Pubertal Development - Child and Adolescent Male)
PX120602,Requires images/visual aids (Eating Disorder Screener for DSM-5)
PX120901,Requires images/visual aids (Symptoms of Autism Spectrum Disorders - Adult)
PX120902,Requires images/visual aids (Symptoms of Autism Spectrum Disorders - Adolescent)
PX122001,"Requires images/visual aids (PTSD Symptoms, Self-report - DSM-IV)"
PX130501,Requires images/visual aids (Migraine - Adult)
PX150602,Requires images/visual aids (Sitting-Sedentary Behavior - Adolescent)
PX150703,Requires images/visual aids (Total Physical Activity - Comprehensive - Older Adult)
PX170501,Requires images/visual aids (Personal and Family History of Psoriasis)
PX172001,Requires images/visual aids (Psoriatic Arthritis (PsA) - Impact of Disease)
PX181101,Requires images/visual aids (Temperament - Child)
PX181102,Requires images/visual aids (Temperament - Early Childhood)
PX181103,Requires images/visual aids (Temperament - Infant)
PX181105,Requires images/visual aids (Temperament - Adult)
PX211501,Requires images/visual aids (Life Events - Child)
PX220701,Requires images/visual aids (Disease Progression and Regression - 0-24 Months)
PX220702,Requires images/visual aids (Disease Progression and Regression - 2-11 Years)
PX220801,Requires images/visual aids (Disorders of Respiratory Control with Inherent Autonomic Dysregulation)
PX230104,Requires images/visual aids (Eating Disorders Examination- Questionnaire)
PX280201,Requires images/visual aids (Health Numeracy)
PX300401,Requires images/visual aids (Childs Lifetime Household Composition)
PX321101,Requires images/visual aids (Supportive Care Needs - Cancer)
PX511502,Requires images/visual aids (Alcohol and Cannabis Simultaneous Use)
PX520103,Requires images/visual aids (Acute Subjective Response to Substances - Current - General)
PX540301,Requires images/visual aids (Family Risk and Protective Factors)
PX540603,Requires images/visual aids (Sensitivity to Punishment/Sensitivity to Reward Questionnaire (SPSRQ))
PX610101,Requires images/visual aids (Impairment - Adolescent)
PX610201,Requires images/visual aids (Broad Psychopathology - Adult)
PX651201,Requires images/visual aids (Questionnaire on Eating and Weight Patterns - Adult)
PX651202,Requires images/visual aids (Questionnaire on Eating and Weight Patterns - Child)
PX710502,Requires images/visual aids (Motivation to Quit - Multiple Item)
PX741402,Requires images/visual aids (Use of Tobacco Products)
PX751601,"Requires images/visual aids (Self-reported Exposure to E-cigarettes and Other Tobacco Products on the Internet, Newspapers and Magazines, Physical Stores, TV/Streaming/Movies, and Social Media)"
PX860302,Requires images/visual aids (Pain Coping - Child)
PX870701,Requires images/visual aids (Sickle Cell Disease Responses to Stress - Youth)
PX992501,Requires images/visual aids (Long COVID - Multisystem Inflammatory Syndrome - Child)
